编号,论文位置,问题类别,审计结论,项目位置,项目处理,继承状态,当前冻结悬停影响,剩余风险,决定
S01,"PDF第1页图1；第5至6页式16、17",角度定义,"图1与公式变量相差90度","model/rotor_model_bemt.m; tests/run_all_checks.m","明确采用0度直升机、90度飞机并检查端点",未继承图1标注,无,"外部工况映射必须写清角度基准",保留代码约定
S02,PDF第4页式4后,编辑错误,"无关的重心变化定义插入挥舞方程后",model/rotor_model_bemt.m,"只实现实际进入方程的量",未继承,无,无,无需改模型
S03,PDF第5页式13,定义不足,"论文未公开推力系数归一化；分母4不能单独判错","model/rotor_model_bemt.m; tests/check_nuaa_eq12_13_16.m","显式采用半动压推力系数定义并核对动量闭合",补充定义而非照抄,无,"负推力和风车分支仍不支持",保持现状
S04,PDF第5页式16,公式范围错误,"角度因子在30至37.9167度为负且峰值超过1","model/wing_model.m; tests/check_nuaa_eq12_13_16.m","保存原值后把面积限制在物理范围内",部分继承且有保护,无,"过渡段经验形状仍未验证",不为悬停扩模
S05,PDF第6页式20、22,误报撤回,"原图第二行第一列为正z；叉乘矩阵正确","model/wing_model.m; tests/check_nuaa_eq17_wing_velocity.m","使用cross(rAC,F)并检查恒等式",原文无此错误,无,无,撤回旧判断
S06,"PDF第7至8页式25、26、30至32",排版错误,"三分量向量重复无下标符号","model/horizontal_tail_model.m; model/vertical_tail_model.m; model/total_forces_moments.m","显式保存三分量",未继承,无,"部件参数来源另行审计",无需改模型
S07,PDF第8页式34,量纲错误,"角动量项缺最后的角速度向量","model/tiltrotor_eom.m; model/berger13/tiltrotor_eom_13x10.m","使用完整欧拉刚体转动方程",未继承,无,"惯量参数来源仍需独立追溯",无需改模型
S08,PDF第12页式41,量纲与符号错误,"状态矩阵印mg且未说明力矩导数归一化","analysis/linearize_numeric.m; model/tiltrotor_eom.m","对完整状态导数数值微分",未继承,无,"线性化步长仍是本项目独立风险",不使用论文矩阵
S09,PDF第12页式42,下标错误,"第三个力导数行最后一项多出x","analysis/linearize_numeric.m","数值形成输入矩阵",未继承,无,无,不使用论文矩阵
S10,"PDF第13至14页表1、表3",数值错行,"0.0452应从θ点行移到φ点行；修正后精确复现表3横侧向根","analysis/stability_report.m","从本项目矩阵实时求根",未继承,无,无,论文表仅作勘误
S11,PDF第14页表3后,文字判断错误,"正根1.3495被称为大负根和收敛模态",analysis/stability_report.m,"按特征值实部判断稳定性",未继承,无,无,论文文字不作证据
S12,"PDF第15页表4、表6",数值复制错误,"纵向-0.5295应为-0.085158；前者是横侧向根","analysis/stability_report.m","从本项目矩阵实时求根",未继承,无,无,论文表仅作勘误
S13,PDF第15页表6后,模态解释错误,"正文描述的复根数量与表中根类型不符且忽略正实根0.3028",analysis/stability_report.m,"不导入论文模态文字",未继承,无,"本项目仍缺完整模态参与度分析",不使用论文解释
S14,PDF第11页图7,验证证据不足,"无数表、试验编号、完整工况、误差条和控制量换算","docs/XV15_FROZEN_LOW_ORDER_VALIDATION.md","冻结验模改用OARF Run 15原始数据",未进入冻结验模,无,"历史论文草稿仍有宽泛趋势措辞",后续论文编辑时降级
S15,PDF第16至17页符号表,符号错误与复用,"m、R、lambda与正文用法冲突；beta和r一符多义","model/rotor_model_bemt.m; model/tiltrotor_eom.m","代码用结构字段和局部变量区分并使用国际单位",未直接继承,无,"读论文公式时仍需逐式判义",不复制论文符号表
S16,PDF第9至11页总距曲线,资料不足,"44至74度缺少参考站位、零位和控制链定义，不能直接判错","docs/XV15_SOURCE_CONTRACT_CLOSURE.md","不把图中总距用于OARF悬停输入",未继承,无,"论文曲线不可独立复现",不作验证数据
