question,answer,classification,evidence_file,evidence_field_or_line,confidence,remaining_uncertainty,recommended_action
NASA_FIG25_COLLECTIVE_DIRECTLY_COMPARABLE,"No. NASA COLL is the blade pitch at 0.75R inferred from actuator position; the current command is referenced to zero twist at rootCut and gives a different 0.75R pitch.",A_CONFIRMED_DEFINITION_MAPPING_MISMATCH,LOW_COLLECTIVE_DEFINITION_MAPPING.csv,collective_reference_station,HIGH,NASA actuator calibration law beyond the stated +/-1 deg is not published here.,"Map both datasets to a common radial pitch definition before quantitative offset claims."
CURRENT_ZERO_COLLECTIVE_NEGATIVE_PITCH_RANGE,"At input 0 deg, theta is zero only at 0.18R and negative for every modeled blade element outboard of that station.",CODE_DIRECT_EVIDENCE,LOW_COLLECTIVE_DEFINITION_MAPPING.csv,current_collective_0_deg,HIGH,The first blade-element midpoint is outboard of rootCut.,"Do not reinterpret current 0 deg as 0.75R pitch."
ZERO_TO_FOUR_NEGATIVE_THRUST_EXPLAINED_BY_LOCAL_PITCH,"The local negative pitch distribution is a direct, sufficient mechanism for negative sectional loading, but the audit does not prove it is the only contributor to total negative thrust.",HIGH_PROBABILITY_INFERENCE,LOW_COLLECTIVE_POINT_DIAGNOSTICS.csv,geometric_pitch_deg;radial_thrust_contribution_N,MEDIUM_HIGH,Airfoil simplification and the nonuniform inflow/flapping closure also affect integrated thrust.,"Retain the negative points; do not add an empirical collective offset."
OTHER_POSSIBLE_CAUSES,"Yes: ATB/current geometry and airfoil mismatches, the current first-harmonic inflow choice, and a positive-thrust-only momentum closure.",B_AND_D_CONFIRMED,LOW_COLLECTIVE_DEFINITION_MAPPING.csv,CONFIGURATION rows,HIGH,No model-form sensitivity sweep is authorized in this audit.,"Separate configuration mapping from any later solver/physics task."
SIX_TO_TEN_FAILURE_LOCATION,"Blade-element and inner steady-flap evaluations remain finite and converge; failure occurs in the outer induced-velocity/flapping fixed-point closure reaching its iteration limit.",OUTER_COUPLED_INDUCED_CLOSURE,LOW_COLLECTIVE_POINT_DIAGNOSTICS.csv,flap_converged;exit_reason;outer_iterations,HIGH,This does not validate the underlying blade-element or flap equations.,"Do not modify blade geometry to address an outer-loop failure."
EIGHT_DEG_RESIDUAL_ROOT,"Yes, one sampled sign-changing bracket is present in the finite physical interval.",CLEAR_SINGLE_ROOT,LOW_COLLECTIVE_RESIDUAL_AT_8DEG.csv,residual_N;valid,HIGH,Only the authorized finite interval and focused samples were examined.,"Use a bracketed solve in a separate repair task only if authorized."
MULTIPLE_ROOTS_OR_BRANCHES,"No multiple root is demonstrated by the focused residual probe.",NOT_CONFIRMED,LOW_COLLECTIVE_RESIDUAL_AT_8DEG.csv,residual_N,MEDIUM_HIGH,Unsampled or unsupported negative-thrust/windmill branches remain possible.,"Do not claim global uniqueness."
INITIALIZATION_DEPENDENCE,"INCONCLUSIVE;SOLVER_ALGORITHM_LIMITATION",COMPUTED_SEED_TEST,LOW_COLLECTIVE_SEED_TESTS.csv,pair_classification,HIGH,Only the mandated 4 deg and 12 deg neighboring seeds were used.,"Treat continuation only as a diagnosis, not a model repair."
PRIMARY_ROOT_CAUSE_CLASS,"Combination E: A definition mapping mismatch, B configuration mismatch, C fixed-point/initialization behavior, and D missing negative/zero-thrust momentum branches all contribute.",E_COMBINATION,LOW_COLLECTIVE_AUDIT_SUMMARY.csv,supporting evidence files,HIGH,Relative contribution magnitudes were not fitted or optimized.,"Split later work into definition/configuration and numerical/branch tasks."
MODIFY_PRODUCTION_PHYSICS_NOW,"No change is justified inside this quick audit.",NO_CHANGE_IN_CURRENT_TASK,analysis/low_collective_quick_audit.m,read-only diagnostic boundary,HIGH,A later negative-thrust/windmill scope may require new physics.,"Open a separate scoped repair/design task after review."
SOLVER_ONLY_FIX_SUFFICIENT,"No. A bracketed solver may recover a positive root, but it cannot resolve the collective-reference/configuration mismatch or add the missing negative-thrust branch.",SOLVER_ONLY_INSUFFICIENT,LOW_COLLECTIVE_RESIDUAL_AT_8DEG.csv,residual root plus definition mapping,HIGH,The exact later branch model is not selected.,"Do not label a solver-only change as full resolution."
SEPARATE_XV15_HOMOLOGOUS_OVERRIDE,"Yes, if XV-15 quantitative reproduction is pursued.",RECOMMENDED_SEPARATE_DATASET,LOW_COLLECTIVE_DEFINITION_MAPPING.csv,CONFIGURATION rows,HIGH,A complete source-controlled ATB geometry/polar dataset is not yet assembled.,"Create an opt-in homologous XV-15/ATB override; preserve generic defaults."
TWELVE_TO_TWENTYTWO_TREND_RETAINED,"Yes, retain the limited 12-22 deg slope-direction observation, but explicitly state the pitch-reference and configuration mismatch.",RETAIN_WITH_DOWNGRADED_SCOPE,PR58 frozen external-correlation evidence,12-22 deg common valid interval,HIGH,Absolute offset is not attributable to one cause.,"Keep correlation language; prohibit validation or homologous-comparison wording."
